Index,ECG,PPG_G,PPG_R,PPG_IR,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,
170,-0.3406538,27298,108597,113981,0.3701172,-0.9321289,0.1000977,4.5731707,5.6097561,1.9512195,
170,-0.3288282,27300,108601,113974,0.3671875,-0.9277344,0.1015625,4.8780488,6.0975610,1.8902439,
170,-0.3143323,27321,108608,113978,0.3710938,-0.9252930,0.1044922,4.9390244,6.4634146,1.8292683,
170,-0.3032696,27322,108620,113986,0.3696289,-0.9213867,0.1030273,4.9390244,7.0121951,1.8292683,
170,-0.2918255,27327,108619,113999,0.3642578,-0.9199219,0.1118164,4.8170732,7.5609756,1.7682927,
170,-0.2834331,27324,108629,113992,0.3647461,-0.9213867,0.1123047,4.5731707,8.0487805,1.8292683,
170,-0.2788554,27339,108629,114001,0.3647461,-0.9262695,0.1093750,4.2073171,8.4146341,1.8292683,
171,-0.2765666,27338,108621,113998,0.3623047,-0.9248047,0.1108398,3.9024390,8.6585366,1.7682927,
171,-0.2750407,27342,108641,114011,0.3593750,-0.9208984,0.1132813,3.6585366,8.6585366,1.5853659,
171,-0.2735148,27336,108643,114014,0.3603516,-0.9169922,0.1166992,3.4146341,8.4756098,1.2804878,
171,-0.2700816,27365,108648,114002,0.3593750,-0.9140625,0.1206055,3.2317073,8.1707317,0.9146341,
171,-0.2670298,27357,108666,114007,0.3564453,-0.9165039,0.1210938,2.9878049,7.8658537,0.5487805,
171,-0.2662669,27353,108667,114022,0.3535156,-0.9145508,0.1162109,2.7439024,7.5609756,0.1829268,
171,-0.2628336,27376,108674,114030,0.3525391,-0.9116211,0.1123047,2.3780488,7.5000000,-0.1219512,
172,-0.2449045,27379,108694,114048,0.3623047,-0.9125977,0.1235352,2.0121951,7.6829268,-0.3048780,
172,-0.2124794,27373,108702,114034,0.3613281,-0.9121094,0.1235352,1.5243902,7.8658537,-0.4268293,
172,-0.1792915,27345,108694,114034,0.3603516,-0.9150391,0.1215820,0.9146341,8.1097561,-0.5487805,
172,-0.1579291,27374,108701,114040,0.3583984,-0.9199219,0.1196289,0.3658537,8.2926829,-0.4878049,
172,-0.1461035,27378,108697,114043,0.3579102,-0.9257813,0.1240234,0.0000000,8.3536585,-0.5487805,
172,-0.1342779,27389,108701,114053,0.3564453,-0.9316406,0.1225586,-0.2439024,8.1707317,-0.5487805,
172,-0.1159672,27411,108706,114053,0.3476563,-0.9326172,0.1298828,-0.2439024,7.8658537,-0.6097561,
173,-0.1003269,27388,108714,114051,0.3442383,-0.9335938,0.1391602,-0.1219512,7.6219512,-0.7317073,
173,-0.0930790,27416,108727,114059,0.3437500,-0.9287109,0.1435547,0.0609756,7.2560976,-0.9146341,
