Index,ECG,PPG_G,PPG_R,PPG_IR,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,
225,-0.1434332,30084,115223,119224,-0.0063477,-0.9799805,0.0893555,-5.4878049,14.1463415,-4.3292683,
225,-0.1281743,30102,115306,119289,-0.0136719,-0.9926758,0.0922852,-5.2439024,13.2317073,-4.5121951,
225,-0.1850135,30147,115365,119322,-0.0175781,-1.0004883,0.0849609,-3.8414634,11.0975610,-4.5731707,
225,-0.3124249,30153,115404,119343,-0.0200195,-1.0034180,0.0800781,-2.0731707,8.2317073,-4.6951220,
225,-0.2708445,30155,115389,119340,-0.0214844,-1.0009766,0.0747070,-0.5487805,5.4268293,-4.8780488,
225,0.0911716,30169,115375,119313,-0.0195313,-0.9946289,0.0717773,0.4268293,3.1097561,-5.1219512,
225,0.5027790,30156,115370,119315,-0.0195313,-0.9887695,0.0732422,0.7926829,1.9512195,-5.1829268,
226,0.5512259,30149,115376,119310,-0.0190430,-0.9853516,0.0766602,0.9146341,1.0365854,-5.0609756,
226,0.1903541,30159,115377,119326,-0.0190430,-0.9853516,0.0869141,0.9756098,0.7317073,-4.7560976,
226,-0.2037056,30162,115395,119322,-0.0136719,-0.9873047,0.0942383,0.9756098,0.8536585,-4.3292683,
226,-0.3211987,30172,115382,119317,-0.0083008,-0.9931641,0.0981445,0.7317073,1.0365854,-4.0243902,
226,-0.2429971,30186,115374,119298,0.0034180,-0.9960938,0.0971680,0.1219512,1.1585366,-3.9634146,
226,-0.1995094,30149,115359,119281,0.0141602,-0.9951172,0.0952148,-0.9146341,0.9756098,-4.2682927,
226,-0.2204903,30161,115320,119260,0.0327148,-0.9897461,0.0878906,-2.1951220,0.6097561,-4.6951220,
227,-0.2204903,30179,115287,119226,0.0390625,-0.9858398,0.0874023,-3.5975610,0.3048780,-5.1219512,
227,-0.2105721,30149,115236,119173,0.0356445,-0.9819336,0.0864258,-4.8780488,0.2439024,-5.2439024,
227,-0.2113350,30143,115159,119123,0.0307617,-0.9790039,0.0820313,-5.9146341,0.5487805,-5.1219512,
227,-0.2143868,30098,115102,119060,0.0239258,-0.9770508,0.0795898,-6.4634146,1.1585366,-4.6951220,
227,-0.2147683,30080,115021,118994,0.0180664,-0.9794922,0.0717773,-6.5243902,1.9512195,-3.9634146,
227,-0.2128609,30066,114972,118953,0.0087891,-0.9809570,0.0668945,-5.9756098,2.6219512,-3.1097561,
227,-0.2090462,30066,114908,118918,0.0009766,-0.9775391,0.0605469,-4.9390244,2.9878049,-2.3170732,
228,-0.2059944,30064,114897,118896,-0.0063477,-0.9663086,0.0576172,-3.7804878,2.9268293,-1.6463415,
